i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, D, I.est, M.est, i.iter, d.est, i.est, m.est, d.sd, i.sd, m.sd, LL, maxgrad, m.start, d.start, i.start
1, 1993, 1, 67780, 0, 0, 0.984913310961969, 0.98439067571555, 0, 0, 67780, 0, 0, 0, 0, 66722, 0, 0, 1, 0.98301, 0, 0, 0.0028698, NA, NA, 1183.47, 4.43928e-05, 0, 0.98439067571555, 0
1, 1993, 2, 67780, 0.00017732762060234, 0.02263304229062, 0.22266725095388, 0.236538461538462, 0, 0.0170132325141777, 1058, 0, 18, 0, 18, 246, 0, 18, 1, 0.26967, 0.00037055, 0.010834, 0.064406, 9.146e-05, 0.0019696, 1183.47, 4.43928e-05, 0.0170132325141777, 0.236538461538462, 0
1, 1993, 3, 67780, 0.0211608524230174, 0.294090654157956, 0.296600936006381, 0.310861423220974, 0.0163727959697733, 0.316261203585147, 794, 2, 247, 13, 247, 166, 10, 247, 1, 0.31955, 0.022818, 0.30885, 0.074457, 0.0044761, 0.02962, 1183.47, 4.43928e-05, 0.316261203585147, 0.310861423220974, 0.0163727959697733
1, 1993, 4, 67780, 0.135789093535572, 0.989552862515671, 0.57932738671338, 1, 0.133152173913043, 0.996865203761755, 368, 13, 318, 49, 318, 1, 65, 318, 1, 0.32424, 0.1019, 0.95187, 0.075399, 0.010631, 0.0059198, 1183.47, 4.43928e-05, 0.996865203761755, 1, 0.133152173913043
1, 1993, 5, 67780, 0.00017732762060234, 1, NA, NA, NA, NA, 0, 0, 0, 0, 0, NA, 0, 0, 1, NA, 0.10838, 1, NA, 0.013867, NA, 1183.47, 4.43928e-05, NA, NA, NA
1, 1994, 1, 67780, 0, 0, 0.968625998092638, 0.96814694600177, 0, 0, 67780, 0, 0, 0, 0, 65621, 0, 0, 1, 0.97289, 0, 0, 0.0040942, NA, NA, 1183.47, 4.43928e-05, 0, 0.96814694600177, 0
1, 1994, 2, 67780, 0.00017732762060234, 0.0196091578939526, 0.296600936006381, 0.282280867106503, 0.000463177396943029, 0.0166821130676552, 2159, 0, 36, 1, 36, 599, 0, 36, 1, 0.31955, 0.00015692, 0.027634, 0.074457, 4.4318e-05, 0.0042168, 1183.47, 4.43928e-05, 0.0166821130676552, 0.282280867106503, 0.000463177396943029
1, 1994, 3, 67780, 0.0087543980971343, 0.510154171681782, 0.57932738671338, 0.584105960264901, 0.010505581089954, 0.499004644990046, 1523, 4, 752, 16, 752, 441, 20, 752, 1, 0.32424, 0.037477, 0.61338, 0.075399, 0.0045212, 0.03102, 1183.47, 4.43928e-05, 0.499004644990046, 0.584105960264901, 0.010505581089954
1, 1994, 4, 67780, 0.116754049612646, 0.871090635244086, 0.378454774816835, 0.41025641025641, 0.127388535031847, 0.857664233576642, 314, 10, 235, 40, 235, 16, 50, 235, 1, 0.27195, 0.10838, 0.95187, 0.063876, 0.013867, 0.0059198, 1183.47, 4.43928e-05, 0.857664233576642, 0.41025641025641, 0.127388535031847
1, 1994, 5, 67780, 0.0378006872852234, 1, NA, NA, 0, 1, 23, 0, 23, 0, 23, NA, 0, 23, 1, NA, 0.12566, 1, NA, 0.015304, NA, 1183.47, 4.43928e-05, 1, NA, 0
1, 1995, 1, 67780, 0, 0, 0.977016696944337, 0.977589259368545, 0, 0, 67780, 0, 0, 0, 0, 66261, 0, 0, 1, 0.98797, 0, 0, 0.0020721, NA, NA, 1183.47, 4.43928e-05, 0, 0.977589259368545, 0
1, 1995, 2, 67780, 0.00017732762060234, 0.00621683429916295, 0.57932738671338, 0.60185799601858, 0, 0.00789993416721527, 1519, 0, 12, 0, 12, 907, 0, 12, 1, 0.32424, 0.00025966, 0.013476, 0.075399, 5.9407e-05, 0.0022333, 1183.47, 4.43928e-05, 0.00789993416721527, 0.60185799601858, 0
1, 1995, 3, 67780, 0.0266315154494068, 0.30187986319921, 0.378454774816835, 0.380102040816327, 0.0183333333333333, 0.33446519524618, 600, 1, 197, 11, 197, 149, 5, 197, 1, 0.27195, 0.039952, 0.36878, 0.063876, 0.0059131, 0.030332, 1183.47, 4.43928e-05, 0.33446519524618, 0.380102040816327, 0.0183333333333333
1, 1995, 4, 67780, 0.163406214039125, 0.9950874435056, 0.549562598550708, NA, 0.148148148148148, 1, 243, 8, 207, 36, 207, 0, 40, 207, 1, 0.28227, 0.12566, 0.95187, 0.065172, 0.015304, 0.0059198, 1183.47, 4.43928e-05, 1, NA, 0.148148148148148
1, 1995, 5, 67780, 0.00017732762060234, 1, NA, NA, NA, NA, 0, 0, 0, 0, 0, NA, 0, 0, 1, NA, 0.18162, 1, NA, 0.013753, NA, 1183.47, 4.43928e-05, NA, NA, NA
1, 1996, 1, 67780, 0, 0, 0.977026081690611, 0.976777810563588, 0, 0, 67780, 0, 0, 0, 0, 66206, 0, 0, 1, 0.98888, 0, 0, 0.0019302, NA, NA, 1183.47, 4.43928e-05, 0, 0.976777810563588, 0
