i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, I.est, M.est, D
1, 1991, 3, 67780, 0.10544748393698, 0.19959369991117, 0.312075809794695, 0.312075809794695, 0.10544748393698, 0.19959369991117, 177.637936011316, 3.74629468083031, 31.7167288115599, 18.7314734041515, 31.7167288115599, 18.7314734041515, 31.7167288115599, 39.692839171835
1, 1991, 4, 67780, 0.249382166150527, 0.948896315421268, 0.639808898384753, 0.639808898384753, 0.249382166150527, 0.948896315421268, 87.4968946237696, 4.36403302254401, 62.3204066419541, 21.8201651127201, 62.3204066419541, 21.8201651127201, 62.3204066419541, 2.14740523749947
1, 1991, 5, 67780, 0.456706399755944, 1, NA, NA, 0.456706399755944, 1, 1.20891763159591, 0.11042408382553, 0.65679721246826, 0.552120419127651, 0.65679721246826, 0.552120419127651, 0.65679721246826, NA
1, 1992, 1, 67780, 0, 0, 0.992828204055112, 0.992828204055112, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 67293.8956708555
1, 1992, 2, 67780, 0.000287124284988782, 0.00973192849969107, 0.312075809794695, 0.312075809794695, 0.000287124284988782, 0.00973192849969107, 486.104329144509, 0.0279144715871138, 4.7293742664167, 0.139572357935569, 4.7293742664167, 0.139572357935569, 4.7293742664167, 150.181921701838
1, 1992, 3, 67780, 0.10529505376204, 0.290651720999001, 0.639808898384753, 0.639808898384753, 0.10529505376204, 0.290651720999001, 331.053460818319, 6.97165839099487, 86.0896355817209, 34.8582919549743, 86.0896355817209, 34.8582919549743, 86.0896355817209, 134.427389793457
1, 1992, 4, 67780, 0.456706399755944, 0.948896315421268, 0.713071819956078, 0.713071819956078, 0.456706399755944, 0.948896315421268, 75.6781434881671, 6.91253849053891, 39.0142999944435, 34.5626924526945, 39.0142999944435, 34.5626924526945, 39.0142999944435, 1.49827159682922
1, 1992, 5, 67780, 0.193010679601437, 1, NA, NA, 0.193010679601437, 1, 0.602879444199869, 0.0232724342485507, 0.486517272957116, 0.116362171242753, 0.486517272957116, 0.116362171242753, 0.486517272957116, NA
1, 1993, 1, 67780, 0, 0, 0.847246313675086, 0.847246313675086, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 57426.3551408973
1, 1993, 2, 67780, 0.000286685322772096, 0.0057178262314006, 0.639808898384753, 0.639808898384753, 0.000286685322772096, 0.0057178262314006, 10353.6448591027, 0.5936476036599, 59.1833702967811, 2.9682380182995, 59.1833702967811, 2.9682380182995, 59.1833702967811, 6584.58895952053
